procedure,quantity,n_elements,max_abs,max_rel
kaplan_meier,time,139,0.0,0.0
kaplan_meier,survival,139,2.220446049250313e-16,7.19720778839501e-16
kaplan_meier,n_risk,139,0.0,0.0
kaplan_meier,std_err,139,2.0816681711721685e-17,7.592435933361708e-16
kaplan_meier,ci_lower,139,2.220446049250313e-16,1.0063436593374995e-15
kaplan_meier,ci_upper,139,3.3306690738754696e-16,1.1285929623741823e-15
kaplan_meier,median_survival,1,0.0,0.0
survdiff,statistic,1,1.7763568394002505e-15,1.720152248560687e-16
survdiff,p_value,1,2.2985086056692694e-17,1.7530283728590268e-14
survdiff,observed,2,0.0,0.0
survdiff,expected,2,1.4210854715202004e-14,1.5517126957605768e-16
coxph,coefficients,3,1.9984014443252818e-15,8.4645396759146e-15
coxph,hazard_ratios,3,1.5543122344752192e-15,1.9293310062310064e-15
coxph,standard_errors,3,6.38378239159465e-16,2.732905955268319e-14
coxph,z_values,3,2.2648549702353193e-14,1.8966105027044882e-14
coxph,p_values,3,8.909539772616881e-15,3.833450365438881e-14
coxph,concordance,1,8.684325836938456e-05,0.0001363026535539789
coxph,loglik_model,1,1.1368683772161603e-13,1.5589981048406957e-16
discrete_time,coefficients,3,9.992007221626409e-16,1.6184367574109152e-15
discrete_time,standard_errors,3,2.7755575615628914e-17,1.9211075725159354e-16
discrete_time,z_values,3,5.329070518200751e-15,1.6943342299289176e-15
discrete_time,p_values,3,8.881784197001252e-16,2.1472558921708508e-14
